Index,Similar Digits to Pi,,Similar Digits to Pi,Index
1382,1058,,,
1383,1059,,,
1384,1059,,,
1385,1061,,,
1386,1061,,,
1387,1062,,,
1388,1062,,,
1389,1064,,,
1390,1062,,,
1391,1065,,,
1392,1066,,,
1393,1067,,,
1394,1068,,,
1395,1068,,,
1396,1069,,,
1397,1069,,,
1398,1071,,,
1399,1071,,,
1400,1072,,,
1401,1073,,,
1402,1072,,,
1403,1074,,,
1404,1075,,,
1405,1075,,,
1406,1077,,,
1407,1078,,,
1408,1077,,,
1409,1079,,,
1410,1080,,,
1411,1080,,,
1412,1081,,,
1413,1082,,,
1414,1082,,,
1415,1084,,,
1416,1084,,,
1417,1085,,,
1418,1086,,,
1419,1087,,,
1420,1087,,,
1421,1088,,,
1422,1089,,,
1423,1089,,,
1424,1090,,,
1425,1091,,,
1426,1092,,,
1427,1093,,,
1428,1093,,,
1429,1094,,,
1430,1094,,,
1431,1095,,,
1432,1097,,,
1433,1097,,,
1434,1098,,,
1435,1099,,,
1436,1100,,,
1437,1100,,,
1438,1101,,,
1439,1102,,,
1440,1102,,,
1441,1103,,,
1442,1104,,,
1443,1105,,,
1444,1106,,,
1445,1107,,,
1446,1107,,,
1447,1108,,,
1448,1109,,,
1449,1109,,,
1450,1110,,,
1451,1111,,,
1452,1112,,,
1453,1113,,,
1454,1114,,,
1455,1114,,,
1456,1115,,,
1457,1115,,,
1458,1116,,,
1459,1117,,,
1460,1117,,,
1461,1119,,,
1462,1119,,,
1463,1120,,,
1464,1121,,,
1465,1121,,,
1466,1122,,,
1467,1123,,,
1468,1124,,,
1469,1125,,,
1470,1126,,,
1471,1126,,,
1472,1127,,,
1473,1128,,,
1474,1129,,,
1475,1129,,,
1476,1130,,,
1477,1131,,,
1478,1131,,,
1479,1133,,,
1480,1133,,,
1481,1134,,,
1482,1135,,,
1483,1135,,,
1484,1136,,,
1485,1137,,,
1486,1137,,,
1487,1139,,,
1488,1139,,,
1489,1140,,,
1490,1140,,,
1491,1142,,,
1492,1142,,,
1493,1143,,,
1494,1144,,,
